DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2019-01,1925,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2019-02,1625,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2019-03,1775,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2019-04,2110,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2019-05,2262,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2019-06,2479,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2019-07,2954,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2019-08,3012,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2019-09,2572,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2019-10,2173,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2019-11,1983,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2019-12,2204,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2020-01,1984,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2020-02,1667,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2020-03,862,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2020-04,134,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2020-05,186,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2020-06,400,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2020-07,1754,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2020-08,2087,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2020-09,1513,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2020-10,1227,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2020-11,872,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2020-12,880,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2021-01,881,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2021-02,751,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2021-03,935,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2021-04,1039,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2021-05,1452,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2021-06,2173,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2021-07,3007,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2021-08,3749,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2021-09,3018,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2021-10,2368,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2021-11,1953,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2021-12,2265,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2022-01,2111,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2022-02,1707,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2022-03,2199,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2022-04,2838,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2022-05,3322,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2022-06,3538,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2022-07,4132,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2022-08,4430,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2022-09,3736,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2022-10,3188,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2022-11,2659,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2022-12,2788,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2023-01,2737,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2023-02,2349,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2023-03,2864,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2023-04,3375,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2023-05,3721,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2023-06,4309,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AL,2023-07,5068,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AT,2019-01,24110,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AT,2019-02,23368,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AT,2019-03,27362,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AT,2019-04,27218,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AT,2019-05,28262,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AT,2019-06,29954,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AT,2019-07,30638,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AT,2019-08,30197,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AT,2019-09,29329,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AT,2019-10,28210,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AT,2019-11,24584,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AT,2019-12,25704,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AT,2020-01,25526,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AT,2020-02,24837,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AT,2020-03,13690,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AT,2020-04,1297,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AT,2020-05,1628,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AT,2020-06,3901,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AT,2020-07,10377,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AT,2020-08,13469,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AT,2020-09,11990,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AT,2020-10,9238,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AT,2020-11,5411,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AT,2020-12,5271,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AT,2021-01,4801,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AT,2021-02,3976,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AT,2021-03,5327,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AT,2021-04,6635,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AT,2021-05,7783,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AT,2021-06,11225,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AT,2021-07,17698,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AT,2021-08,19580,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AT,2021-09,18856,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AT,2021-10,18314,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AT,2021-11,15513,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AT,2021-12,15225,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AT,2022-01,14099,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AT,2022-02,13266,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AT,2022-03,16934,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AT,2022-04,18983,
ESTAT:AVIA_TF_CM(1.0),09/08/23 23:00:00,M,NR,AT,2022-05,21998,
